# Source: Swiss Ephemeris 2.10.03 (libswisseph-sys 0.1.2), swe_calc, iflag=1588 (SEFLG_MOSEPH|SEFLG_J2000|SEFLG_TRUEPOS|SEFLG_NOABERR|SEFLG_NOGDEFL).
# Fictitious (hypothetical) bodies, SE numbers 40..=58 (SE_FICT_OFFSET_1 + 1..=19). Elements read from the committed data/seorbel.txt (SE's built-in fallback only covers 40-54; 55-58 require this file). Geocentric J2000-ecliptic lon/lat (degrees) and distance (AU), GEOMETRIC (no light-time, no aberration, no gravitational deflection) — matches FictitiousBackend::position's geocentric-J2000 boundary. Times are TT (Terrestrial Time) Julian days, evenly sampled per body across the 1900-2100 CE window (JD 2415020.5..=2488069.5).
label,se_body,jd_tt,lon_deg,lat_deg,dist_au
Apollon,44,2462880.189655173,220.244358650,-0.009050157,70.587217627
Apollon,44,2465399.120689655,224.095477901,-0.009611403,71.149310291
Apollon,44,2467918.051724138,227.740732412,-0.010210526,71.272144799
Apollon,44,2470436.982758621,231.464243574,-0.010856889,70.902589274
Apollon,44,2472955.913793103,235.503489150,-0.011518221,70.231103384
Apollon,44,2475474.844827586,239.944506794,-0.012121307,69.588204602
Apollon,44,2477993.775862069,244.679572930,-0.012557848,69.289509769
Apollon,44,2480512.706896552,249.449295633,-0.012789131,69.487109546
Apollon,44,2483031.637931034,253.969269651,-0.012821402,70.088847566
Apollon,44,2485550.568965517,258.081355125,-0.012755252,70.792574400
Apollon,44,2488069.500000000,261.839060833,-0.012692773,71.237380033
Admetos,45,2415020.500000000,352.011246348,-0.000706642,73.950680983
Admetos,45,2417539.431034483,355.954509305,0.000200710,73.238010553
Admetos,45,2420058.362068966,0.266453664,0.001186683,72.722316216
Admetos,45,2422577.293103448,4.748857980,0.002180165,72.663615275
Admetos,45,2425096.224137931,9.118807208,0.003130425,73.080969782
Admetos,45,2427615.155172414,13.164381857,0.003985197,73.760832642
Admetos,45,2430134.086206897,16.839194436,0.004770454,74.374546307
Admetos,45,2432653.017241379,20.267262197,0.005515474,74.629566253
Admetos,45,2435171.948275862,23.684532819,0.006265183,74.396214656
Admetos,45,2437690.879310345,27.343100492,0.007050105,73.777506644
Admetos,45,2440209.810344827,31.390716860,0.007848573,73.080349714
Admetos,45,2442728.741379310,35.775515138,0.008626301,72.665934367
Admetos,45,2445247.672413793,40.259005546,0.009302218,72.746594068
Admetos,45,2447766.603448276,44.555361364,0.009869405,73.270045936
Admetos,45,2450285.534482758,48.491663607,0.010339871,73.967165155
Admetos,45,2452804.465517242,52.077799748,0.010767103,74.501769114
Admetos,45,2455323.396551724,55.479516780,0.011204832,74.622891635
